cast
Henry Cavill
Rene Auberjonois
Christopher Daniel Barnes
Graham Chapman
John Cleese
Eric Idle
Terry Gilliam
Gene Wilder
Madeline Kahn
Marty Feldman
Peter Boyle
Jack Nicholson
Helen Hunt
Greg Kinnear
Cuba Gooding Jr.
Brigitte Lin
Takeshi Kaneshiro
Tony Chiu-Wai Leung
Faye Wong
Cuba Gooding Jr.
Laurence Fishburne
Hudhail Al-Amir
Lloyd Avery II
Paul Newman
Robert Redford
Robert Shaw
Charles Durning
Marilyn Monroe
Tony Curtis
Jack Lemmon
George Raft
Chow Yun-Fat
Michelle Yeoh
Ziyi Zhang
Chen Chang
Scott Weinger
Robin Williams
Linda Larkin
Jonathan Freeman
Sharlto Copley
David James
Jason Cope
Nathalie Boltt
Tom Hanks
Mark Rylance
Alan Alda
Amy Ryan
Michael B. Jordan
Sylvester Stallone
Tessa Thompson
Phylicia Rashad
Aras Bulut Iynemli
Nisa Sofiya Aksongur
Deniz Baysal
Celile Toyon Uysal
Colin Farrell
Brendan Gleeson
Ciarán Hinds
Elizabeth Berrington
Fay Wray
Robert Armstrong
Bruce Cabot
Frank Reicher
Donald Pleasence
Jamie Lee Curtis
Tony Moran
Nancy Kyes
James Stewart
Donna Reed
Lionel Barrymore
Thomas Mitchell
Paul Newman
George Kennedy
Strother Martin
J.D. Cannon
John Cusack
Cameron Diaz
Catherine Keener
John Malkovich
Laurence Olivier
Joan Fontaine
George Sanders
Judith Anderson
Cleavon Little
Gene Wilder
Slim Pickens
Harvey Korman
Suriya
Madhavan
Aparna Balamurali
Paresh Rawal
Spencer Tracy
Fredric March
Gene Kelly
Dick York
Ashton Kutcher
Amy Smart
Melora Walters
Elden Henson
Kathy Bates
Jessica Tandy
Mary Stuart Masterson
Mary-Louise Parker
Iko Uwais
Ananda George
Ray Sahetapy
Donny Alamsyah
Steve McQueen
Dustin Hoffman
Victor Jory
Don Gordon
Christian Bale
Jennifer Jason Leigh
Aitana Sánchez-Gijón
John Sharian
Mia Farrow
John Cassavetes
Ruth Gordon
Sidney Blackmer
Tom Hanks
Tim Allen
Joan Cusack
Ned Beatty
Sam Rockwell
Kevin Spacey
Dominique McElligott
Rosie Shaw
Shailene Woodley
Ansel Elgort
Nat Wolff
Laura Dern
Graham Chapman
John Cleese
Michael Palin
Terry Gilliam
Ricardo Darín
Soledad Villamil
Pablo Rago
Carla Quevedo
Jonathan Pryce
Kim Greist
Robert De Niro
Katherine Helmond
Maribel Verdú
Gael García Bernal
Daniel Giménez Cacho
Ana López Mercado
Ellar Coltrane
Patricia Arquette
Ethan Hawke
Elijah Smith
Al Pacino
John Cazale
Penelope Allen
Sully Boyar
John Cho
Debra Messing
Joseph Lee
Michelle La
Russell Crowe
Christian Bale
Ben Foster
Logan Lerman
Leslie Nielsen
Priscilla Presley
O.J. Simpson
Ricardo Montalban
"""Paige OHara"""
Robby Benson
Jesse Corti
Rex Everhart
Paul Newman
Robert Redford
Katharine Ross
Strother Martin
Charlton Heston
Roddy McDowall
Kim Hunter
Maurice Evans
Bryan Cranston
Koyu Rankin
Edward Norton
Bob Balaban
Humphrey Bogart
Mary Astor
Gladys George
Peter Lorre
Mark Wahlberg
Christian Bale
Amy Adams
Melissa Leo
Miyu Irino
Saori Hayami
Aoi Yûki
Kenshô Ono
Dustin Hoffman
Jon Voight
Sylvia Miles
John McGiver
Mel Gibson
Bruce Spence
Michael Preston
Max Phipps
Tom Hanks
Denzel Washington
Roberta Maxwell
Buzz Kilman
Willem Dafoe
Sean Patrick Flanery
Norman Reedus
David Della Rocco
Thomas Turgoose
Stephen Graham
Jo Hartley
Andrew Shim
Tom Hanks
Tyler Hoechlin
Rob Maxey
Liam Aiken
Hitoshi Takagi
Noriko Hidaka
Chika Sakamoto
Shigesato Itoi
Aamir Khan
Sakshi Tanwar
Fatima Sana Shaikh
Sanya Malhotra
Harry Dean Stanton
Nastassja Kinski
Dean Stockwell
Sam Berry
Joaquin Phoenix
Reese Witherspoon
Ginnifer Goodwin
Robert Patrick
Danny Glover
Whoopi Goldberg
Oprah Winfrey
Margaret Avery
Asa Butterfield
David Thewlis
Rupert Friend
" ""Zac Mattoon OBrien"""
"""Ryan ONeal"""
Marisa Berenson
Patrick Magee
Hardy Krüger
Rob Reiner
Michael McKean
Christopher Guest
Kimberly Stringer
John Wayne
Claire Trevor
Andy Devine
John Carradine
Madeline Carroll
Callan McAuliffe
Rebecca De Mornay
Anthony Edwards
Gene Kelly
" ""Donald OConnor"""
Debbie Reynolds
Jean Hagen
Alisa Freyndlikh
Aleksandr Kaydanovskiy
Anatoliy Solonitsyn
Nikolay Grinko
Johnny Depp
Penélope Cruz
Franka Potente
Rachel Griffiths
Rufus Sewell
Kiefer Sutherland
Jennifer Connelly
William Hurt
Mickey Rourke
Marisa Tomei
Evan Rachel Wood
Mark Margolis
Robert De Niro
Robin Williams
Julie Kavner
Ruth Nelson
Gary Cooper
Grace Kelly
Thomas Mitchell
Lloyd Bridges
John C. Reilly
Jack McBrayer
Jane Lynch
Sarah Silverman
Anthony Hopkins
Emma Thompson
John Haycraft
Christopher Reeve
Steve McQueen
James Garner
Richard Attenborough
Charles Bronson
Al Pacino
Johnny Depp
Michael Madsen
Bruno Kirby
Scarlett Johansson
Jonathan Rhys Meyers
Emily Mortimer
Matthew Goode
Billy Bob Thornton
Dwight Yoakam
J.T. Walsh
John Ritter
Matthew Broderick
Denzel Washington
Cary Elwes
Morgan Freeman
Philippe Noiret
Enzo Cannavale
Antonella Attili
Isa Danieli
Nicolas Cage
Meryl Streep
Chris Cooper
Tilda Swinton
Tahar Rahim
Niels Arestrup
Adel Bencherif
Reda Kateb
William Holden
Gloria Swanson
Erich von Stroheim
Nancy Olson
Gene Hackman
John Cazale
Allen Garfield
Frederic Forrest
Jason Schwartzman
Bill Murray
Olivia Williams
Seymour Cassel
Chris Pratt
Will Ferrell
Elizabeth Banks
Will Arnett
"""Brian OHalloran"""
Jeff Anderson
Marilyn Ghigliotti
Lisa Spoonauer
Richard Dreyfuss
François Truffaut
Teri Garr
Melinda Dillon
Rod Taylor
Tippi Hedren
Jessica Tandy
Suzanne Pleshette
Christian Bale
John Malkovich
Miranda Richardson
Nigel Havers
Mitsuo Iwata
Nozomu Sasaki
Mami Koyama
Tesshô Genda
Bruce Willis
Jeremy Irons
Samuel L. Jackson
Graham Greene
Richard Gere
Joan Allen
Cary-Hiroyuki Tagawa
Sarah Roemer
Junko Iwao
Rica Matsumoto
Shinpachi Tsuji
Masaaki Ôkura
Sam Shepard
Scott Glenn
Ed Harris
Dennis Quaid
Max von Sydow
Gunnar Björnstrand
Bengt Ekerot
Nils Poppe
Gary Oldman
Keri Russell
Andy Serkis
Kodi Smit-McPhee
Tom Hanks
Tim Allen
Joan Cusack
Kelsey Grammer
Darío Grandinetti
María Marull
Mónica Villa
Diego Starosta
Warren Beatty
Faye Dunaway
Michael J. Pollard
Gene Hackman
Cary Grant
Eva Marie Saint
James Mason
Jessie Royce Landis
Edward Norton
Jessica Biel
Paul Giamatti
Rufus Sewell
Dustin Hoffman
Meryl Streep
Jane Alexander
Justin Henry
Yalitza Aparicio
Marina de Tavira
Diego Cortina Autrey
Carlos Peralta
Kevin Costner
Gary Oldman
Jack Lemmon
Walter Matthau
John Getz
Frances McDormand
Dan Hedaya
M. Emmet Walsh
Michael Nyqvist
Noomi Rapace
Ewa Fröling
Lena Endre
Josh Brolin
Miles Teller
Jeff Bridges
Jennifer Connelly
Griffin Dunne
Rosanna Arquette
Verna Bloom
Tommy Chong
Daniel Brühl
Katrin Saß
Chulpan Khamatova
Florian Lukas
Elizabeth Taylor
Richard Burton
George Segal
Sandy Dennis
Jürgen Prochnow
Herbert Grönemeyer
Klaus Wennemann
Hubertus Bengsch
Emilio Echevarría
Gael García Bernal
Goya Toledo
Álvaro Guerrero
Jack Lemmon
Shirley MacLaine
Fred MacMurray
Ray Walston
David Emge
Ken Foree
Scott H. Reiniger
Gaylen Ross
Kirk Douglas
Laurence Olivier
Jean Simmons
Charles Laughton
Sean Connery
Gert Fröbe
Honor Blackman
Shirley Eaton
Bill Pullman
Patricia Arquette
John Roselius
Louis Eppolito
Phil Harris
Sebastian Cabot
Louis Prima
Bruce Reitherman
Atsuko Tanaka
Iemasa Kayumi
Akio Ôtsuka
Kôichi Yamadera
Tatsuya Nakadai
Akira Terao
Jinpachi Nezu
Daisuke Ryû
Ethan Hawke
Julie Delpy
Vernon Dobtcheff
Louise Lemoine Torrès
Billy Crystal
Meg Ryan
Carrie Fisher
Bruno Kirby
Adrien Brody
Christina Hendricks
Marcia Gay Harden
Lucy Liu
Brigitte Helm
Alfred Abel
Gustav Fröhlich
Rudolf Klein-Rogge
Frank Sinatra
Laurence Harvey
Janet Leigh
Angela Lansbury
Sean Connery
Christian Slater
Helmut Qualtinger
Elya Baskin
Clint Eastwood
Andrew Robinson
Harry Guardino
Reni Santoni
Vivien Leigh
Marlon Brando
Kim Hunter
Karl Malden
Woody Allen
Diane Keaton
Tony Roberts
Carol Kane
Philip Seymour Hoffman
Samantha Morton
Michelle Williams
Catherine Keener
Tatsuya Fujiwara
Aki Maeda
Tarô Yamamoto
Takeshi Kitano
Omar Sharif
Julie Christie
Geraldine Chaplin
Rod Steiger
Clint Eastwood
Gian Maria Volontè
Marianne Koch
Wolfgang Lukschy
Vincent Cassel
Hubert Koundé
Saïd Taghmaoui
Abdel Ahmed Ghili
Gregory Peck
Audrey Hepburn
Eddie Albert
Hartley Power
Antonio Banderas
Elena Anaya
Jan Cornet
Marisa Paredes
Ulrich Thomsen
Henning Moritzen
Thomas Bo Larsen
Paprika Steen
Alejandro Jodorowsky
Horacio Salinas
Zamira Saunders
Juan Ferrara
"""Josh OConnor"""
Alec Secareanu
Gemma Jones
Ian Hart
Nicole Kidman
Paul Bettany
Lauren Bacall
Harriet Andersson
Orson Welles
Joseph Cotten
Alida Valli
Trevor Howard
Clint Eastwood
Lee Van Cleef
Gian Maria Volontè
Mara Krupp
Ben Kingsley
John Gielgud
Rohini Hattangadi
Roshan Seth
Vishnu Vishal
Amala Paul
Radha Ravi
Sangili Murugan
Damian Chapa
Jesse Borrego
Benjamin Bratt
Enrique Castillo
Jamie Foxx
Regina King
Kerry Washington
Clifton Powell
Natalya Bondarchuk
Donatas Banionis
Jüri Järvet
Vladislav Dvorzhetskiy
Marcello Mastroianni
Anouk Aimée
Claudia Cardinale
Sandra Milo
Ferdia Walsh-Peelo
Aidan Gillen
Maria Doyle Kennedy
Jack Reynor
Lee Marvin
Ernest Borgnine
Charles Bronson
John Cassavetes
Leon Lai
Michelle Reis
Takeshi Kaneshiro
Charlie Yeung
Jude Law
Ed Harris
Joseph Fiennes
Rachel Weisz
Stephen Chow
Wah Yuen
Qiu Yuen
Siu-Lung Leung
James McAvoy
Forest Whitaker
Gillian Anderson
Kerry Washington
Sean Penn
Michelle Pfeiffer
Dakota Fanning
Dianne Wiest
Faye Dunaway
William Holden
Peter Finch
Robert Duvall
Geoffrey Rush
Jim Sturgess
Sylvia Hoeks
Donald Sutherland
Russell Crowe
Al Pacino
Christopher Plummer
Diane Venora
John Wayne
Jeffrey Hunter
Vera Miles
Ward Bond
Sohum Shah
Jyoti Malshe
Anita Date
Ronjini Chakraborty
Eli Marienthal
Harry Connick Jr.
Jennifer Aniston
Vin Diesel
Topol
Norma Crane
Leonard Frey
Molly Picon
Peter Sellers
Shirley MacLaine
Melvyn Douglas
Jack Warden
Cate Blanchett
Matt Damon
Liam Neeson
Tomoko Yamaguchi
Tatsuya Nakadai
Akira Ishihama
Shima Iwashita
Tetsurô Tanba
Ethan Hawke
Julie Delpy
Seamus Davey-Fitzpatrick
Ariane Labed
Johnny Depp
Martin Landau
Sarah Jessica Parker
Patricia Arquette
Payman Maadi
Leila Hatami
Sareh Bayat
Shahab Hosseini
Duane Jones
" ""Judith ODea"""
Karl Hardman
Marilyn Eastman
Toni Servillo
Carlo Verdone
Sabrina Ferilli
Carlo Buccirosso
Don Cheadle
Sophie Okonedo
Joaquin Phoenix
Xolani Mali
Douglas Booth
Jerome Flynn
Robert Gulaczyk
Helen McCrory
Cary Grant
Audrey Hepburn
Walter Matthau
James Coburn
William Holden
Alec Guinness
Jack Hawkins
Sessue Hayakawa
Robert De Niro
Jerry Lewis
Diahnne Abbott
Sandra Bernhard
David Lee Smith
Tony Todd
John Billingsley
Ellen Crawford
Jay Baruchel
Cate Blanchett
Gerard Butler
Craig Ferguson
David Thewlis
Lesley Sharp
Katrin Cartlidge
Greg Cruttwell
John Lone
Joan Chen
" ""Peter OToole"""
Ruocheng Ying
Clark Gable
Claudette Colbert
Walter Connolly
Roscoe Karns
Donald Sutherland
Mary Tyler Moore
Judd Hirsch
Timothy Hutton
Gene Hackman
Roy Scheider
Fernando Rey
Tony Lo Bianco
Willem Dafoe
Julianne Nicholson
Christopher Heyerdahl
Richard Dormer
Susanne Lothar
Ulrich Mühe
Arno Frisch
Frank Giering
William Shatner
Leonard Nimoy
DeForest Kelley
James Doohan
Richard Gere
Brooke Adams
Sam Shepard
Linda Manz
Jamie Bell
Julie Walters
Jean Heywood
Jamie Draven
Elizabeth Taylor
Rock Hudson
James Dean
Carroll Baker
Jean Dujardin
Bérénice Bejo
John Goodman
James Cromwell
Marlon Brando
Karl Malden
Lee J. Cobb
Rod Steiger
Sumi Shimamoto
Mahito Tsujimura
Hisako Kyôda
Gorô Naya
Nicolas Cage
Ethan Hawke
Jared Leto
Bridget Moynahan
Joseph Gordon-Levitt
Seth Rogen
Anna Kendrick
Bryce Dallas Howard
Kirsten Dunst
Minami Takayama
Rei Sakuma
Kappei Yamaguchi
Denzel Washington
Angela Bassett
Delroy Lindo
Spike Lee
Dustin Hoffman
Robert Redford
Jack Warden
Martin Balsam
Steve Martin
John Candy
Laila Robins
Michael McKean
Gabriel Byrne
Albert Finney
John Turturro
Marcia Gay Harden
Judi Dench
Steve Coogan
Sophie Kennedy Clark
Mare Winningham
Margarita Terekhova
Filipp Yankovskiy
Ignat Daniltsev
Oleg Yankovskiy
Danny Elfman
Chris Sarandon
" ""Catherine OHara"""
William Hickey
Lee Pace
Catinca Untaru
Justine Waddell
Kim Uylenbroek
John Wayne
Dean Martin
Ricky Nelson
Angie Dickinson
Bibi Andersson
Liv Ullmann
Margaretha Krook
Gunnar Björnstrand
Edward Fox
Terence Alexander
Michel Auclair
Alan Badel
Angelina Jolie
Colm Feore
Amy Ryan
Gattlin Griffith
Bette Davis
Joan Crawford
Victor Buono
Wesley Addy
John Wayne
Robert Ryan
Richard Burton
Henry Fonda
Will Smith
Rosario Dawson
Woody Harrelson
Michael Ealy
Iko Uwais
Yayan Ruhian
Arifin Putra
Oka Antara
Peter Lorre
Ellen Widmann
Inge Landgut
Otto Wernicke
Bob Geldof
Christine Hargreaves
James Laurenson
Eleanor David
Jet Li
Tony Chiu-Wai Leung
Maggie Cheung
Ziyi Zhang
Björk
Catherine Deneuve
David Morse
Peter Stormare
Jason Schwartzman
J.K. Simmons
Rashida Jones
Will Sasso
Ben Whishaw
Hugh Grant
Hugh Bonneville
Sally Hawkins
Woody Allen
Diane Keaton
Mariel Hemingway
Michael Murphy
Johnny Depp
Kate Winslet
Julie Christie
Radha Mitchell
Gene Hackman
Willem Dafoe
Frances McDormand
Brad Dourif
Jose Coronado
Hugo Silva
Belén Rueda
Aura Garrido
Bruce Campbell
Sarah Berry
Dan Hicks
Kassie Wesley DePaiva
Bruce Dern
Will Forte
June Squibb
Bob Odenkirk
Kåre Hedebrant
Lina Leandersson
Per Ragnar
Henrik Dahl
Clint Eastwood
Sondra Locke
Chief Dan George
Bill McKinney
Thomas Mann
RJ Cyler
Olivia Cooke
Nick Offerman
Kirk Douglas
Ralph Meeker
Adolphe Menjou
George Macready
James Dean
Natalie Wood
Sal Mineo
Jim Backus
William Holden
Ernest Borgnine
Robert Ryan
" ""Edmond OBrien"""
Spencer Tracy
Sidney Poitier
Katharine Hepburn
Katharine Houghton
Martin Sheen
Sissy Spacek
Warren Oates
Ramon Bieri
Megumi Ogata
Megumi Hayashibara
Yûko Miyamura
Kotono Mitsuishi
Richard Farnsworth
Sissy Spacek
Jane Galloway Heitz
Joseph A. Carpenter
Al Pacino
John Randolph
Jack Kehoe
Biff McGuire
Jake Gyllenhaal
Chris Cooper
Laura Dern
Chris Owen
Ayushmann Khurrana
Tabu
Radhika Apte
Anil Dhawan
Al Pacino
Jack Lemmon
Alec Baldwin
Alan Arkin
Emily Watson
Stellan Skarsgård
Katrin Cartlidge
Jean-Marc Barr
Lily Franky
Sakura Andô
Kirin Kiki
Mayu Matsuoka
Bruce Lee
John Saxon
Jim Kelly
Ahna Capri
Clint Eastwood
Telly Savalas
Don Rickles
" ""Carroll OConnor"""
Liza Minnelli
Michael York
Helmut Griem
Joel Grey
Bette Davis
Anne Baxter
George Sanders
Celeste Holm
Anthony Quinn
Giulietta Masina
Richard Basehart
Aldo Silvani
Clint Eastwood
Meryl Streep
Annie Corley
Victor Slezak
Burt Lancaster
Montgomery Clift
Deborah Kerr
Donna Reed
Tyrone Power
Marlene Dietrich
Charles Laughton
Elsa Lanchester
Hideaki Anno
Hidetoshi Nishijima
Miori Takimoto
Masahiko Nishimura
Darsheel Safary
Aamir Khan
Tisca Chopra
Vipin Sharma
John Wayne
" ""Maureen OHara"""
Barry Fitzgerald
Ward Bond
Paul Newman
Jackie Gleason
Piper Laurie
George C. Scott
Wallace Ford
Leila Hyams
Olga Baclanova
Roscoe Ates
Cary Grant
Ingrid Bergman
Claude Rains
Louis Calhern
Roy Scheider
Jessica Lange
Ann Reinking
Leland Palmer
Rolf Lassgård
Bahar Pars
Filip Berg
Ida Engvoll
Brie Larson
Frantz Turner
John Gallagher Jr.
Kaitlyn Dever
Hye-ja Kim
Won Bin
Jin Goo
Je-mun Yun
Anne Dorval
Antoine Olivier Pilon
Suzanne Clément
Patrick Huard
Timothy Spall
Brenda Blethyn
Phyllis Logan
Claire Rushbrook
Charles Chaplin
Paulette Goddard
Henry Bergman
Tiny Sandford
Mayumi Tanaka
Keiko Yokozawa
Kotoe Hatsui
Minori Terada
Sean Penn
Benicio Del Toro
Naomi Watts
Danny Huston
James Stewart
Wallace Ford
William H. Lynn
Victoria Horne
Eduardo Noriega
Penélope Cruz
Chete Lera
Fele Martínez
Daniel Day-Lewis
Brenda Fricker
Alison Whelan
Kirsten Sheridan
John Hurt
Richard Briers
Ralph Richardson
Michael Graham Cox
Abraham Attah
Emmanuel Affadzi
Ricky Adelayitor
Andrew Adote
Sam Waterston
Haing S. Ngor
John Malkovich
Julian Sands
Marcello Mastroianni
Anita Ekberg
Anouk Aimée
Yvonne Furneaux
Humphrey Bogart
Audrey Hepburn
William Holden
Walter Hampden
Russell Crowe
Renée Zellweger
Craig Bierko
Paul Giamatti
Fred MacMurray
Barbara Stanwyck
Edward G. Robinson
Byron Barr
Donnie Yen
Simon Yam
Siu-Wong Fan
Ka Tung Lam
John Turturro
John Goodman
Judy Davis
Michael Lerner
Charles Chaplin
Paulette Goddard
Jack Oakie
Reginald Gardiner
Prabhas
Rana Daggubati
Ramya Krishnan
Sathyaraj
Max Schreck
Alexander Granach
Gustav von Wangenheim
Greta Schröder
Peter Billingsley
Melinda Dillon
Darren McGavin
Scott Schwartz
James Stewart
John Wayne
Vera Miles
Lee Marvin
Laia Costa
Frederick Lau
Franz Rogowski
Burak Yigit
Josh Hartnett
Ben Kingsley
Morgan Freeman
Lucy Liu
Carice van Houten
Sebastian Koch
Thom Hoffman
Halina Reijn
Ruth Gordon
Bud Cort
Vivian Pickles
Cyril Cusack
Charles Boyer
Ingrid Bergman
Joseph Cotten
May Whitty
Amy Poehler
Will Arnett
Mirai Shida
Ryûnosuke Kamiki
James Stewart
John Dall
Farley Granger
Dick Hogan
Jane Adams
Jon Lovitz
Philip Seymour Hoffman
Dylan Baker
Kenneth Branagh
Julie Christie
Derek Jacobi
Kate Winslet
Bruno Ganz
Solveig Dommartin
Otto Sander
Curt Bois
Won Bin
Sae-ron Kim
Tae-hoon Kim
Hee-won Kim
Jean-Paul Belmondo
Jean Seberg
Daniel Boulanger
Henri-Jacques Huet
"""Ryan ONeal"""
" ""Tatum ONeal"""
Madeline Kahn
John Hillerman
Manoj Bajpayee
Richa Chadha
Nawazuddin Siddiqui
Tigmanshu Dhulia
Clint Eastwood
Patrick McGoohan
Roberts Blossom
Jack Thibeau
Edward Norton
Barry Pepper
Philip Seymour Hoffman
Rosario Dawson
Roland Møller
Louis Hofmann
Joel Basman
Mikkel Boe Følsgaard
James Dean
Raymond Massey
Julie Harris
Burl Ives
Deborah Kerr
Peter Wyngarde
Megs Jenkins
Michael Redgrave
Ray Milland
Grace Kelly
Robert Cummings
John Williams
Biljana Cekic
Zlatan Vidovic
Anja Stanic
Luka Saranovic
Toshirô Mifune
Machiko Kyô
Masayuki Mori
Takashi Shimura
"""Peter OToole"""
Katharine Hepburn
Anthony Hopkins
John Castle
Jean-Louis Trintignant
Emmanuelle Riva
Isabelle Huppert
Alexandre Tharaud
Humphrey Bogart
Katharine Hepburn
Robert Morley
Peter Bull
Leopold Stokowski
Deems Taylor
The Philadelphia Orchestra
Corey Burton
Katharine Hepburn
Henry Fonda
Jane Fonda
Doug McKeon
Megumi Hayashibara
Tôru Emori
Katsunosuke Hori
Tôru Furuya
Aamir Khan
Anushka Sharma
Sanjay Dutt
Boman Irani
Toni Collette
Philip Seymour Hoffman
Eric Bana
Barry Humphries
Paul Newman
Charlotte Rampling
Jack Warden
James Mason
Jean-Pierre Léaud
Albert Rémy
Claire Maurier
Guy Decomble
David Rawle
Brendan Gleeson
Lisa Hannigan
Fionnula Flanagan
Johnny Depp
Gary Farmer
Crispin Glover
Lance Henriksen
Toshirô Mifune
Eijirô Tôno
Tatsuya Nakadai
Yôko Tsukasa
Juliette Binoche
Zbigniew Zamachowski
Julie Delpy
Benoît Régent
Sean Connery
Michael Caine
Christopher Plummer
Saeed Jaffrey
Cary Grant
Katharine Hepburn
James Stewart
Ruth Hussey
Charlize Theron
Art Parkinson
Matthew McConaughey
Ralph Fiennes
Catherine Deneuve
Jean Sorel
Michel Piccoli
Geneviève Page
Barry Bostwick
Jennifer Drake
Eric Baugin
Jean Topart
Taapsee Pannu
Amitabh Bachchan
Kirti Kulhari
Andrea Tariang
George C. Scott
Karl Malden
Stephen Young
Michael Strong
Robert Mitchum
Shelley Winters
Lillian Gish
James Gleason
Yoko Honna
Issey Takahashi
Takashi Tachibana
Shigeru Muroi
Michael Rennie
Patricia Neal
Hugh Marlowe
Sam Jaffe
Liesel Matthews
Eleanor Bron
Liam Cunningham
Rusty Schwimmer
Ken Watanabe
Kazunari Ninomiya
Tsuyoshi Ihara
Ryô Kase
Cecilia Roth
Marisa Paredes
Candela Peña
Antonia San Juan
Jim Henson
Frank Oz
Jerry Nelson
Richard Hunt
Ajay Devgn
Shriya Saran
Tabu
Rajat Kapoor
Elizabeth Taylor
Paul Newman
Burl Ives
Jack Carson
Franka Potente
Moritz Bleibtreu
Herbert Knaup
Nina Petri
Richard E. Grant
Paul McGann
Richard Griffiths
Ralph Brown
Bill Nighy
Imelda Staunton
Dominic West
Paddy Considine
Colin Clive
Mae Clarke
Boris Karloff
John Boles
Anthony Quinn
Irene Papas
Michael Ansara
Johnny Sekka
Humphrey Bogart
Walter Huston
Tim Holt
Bruce Bennett
Ulrich Thomsen
Mads Mikkelsen
Nicolas Bro
Paprika Steen
Andie MacDowell
Julianne Moore
Tim Robbins
Bruce Davison
Glen Hansard
Markéta Irglová
Hugh Walsh
Gerard Hendrick
Davor Dujmovic
Bora Todorovic
Ljubica Adzovic
Husnija Hasimovic
Marion Cotillard
Sylvie Testud
Pascal Greggory
Emmanuelle Seigner
Mia Farrow
Dianne Wiest
Michael Caine
Barbara Hershey
Kim Ki-duk
Yeong-su Oh
Jong-ho Kim
Kim Young-Min
Lamberto Maggiorani
Enzo Staiola
Lianella Carell
Elena Altieri
Bertil Guve
Pernilla Allwin
Kristina Adolphson
Börje Ahlstedt
Irène Jacob
Wladyslaw Kowalski
Halina Gryglaszewska
Kalina Jedrusik
Jürgen Vogel
Frederick Lau
Max Riemelt
Jennifer Ulrich
Shûichirô Moriyama
Tokiko Katô
Bunshi Katsura Vi
Tsunehiko Kamijô
Charles Chaplin
Virginia Cherrill
Florence Lee
Harry Myers
Kim Yoon-seok
Jung-woo Ha
Yeong-hie Seo
Kim Yoo-Jeong
Sterling Hayden
Coleen Gray
Vince Edwards
Jay C. Flippen
James Stewart
Lee Remick
Ben Gazzara
" ""Arthur OConnell"""
Toshirô Mifune
Yutaka Sada
Tatsuya Nakadai
Kyôko Kagawa
Brady Corbet
Joseph Gordon-Levitt
Elisabeth Shue
Chase Ellison
Katharine Hepburn
Cary Grant
Charles Ruggles
Walter Catlett
Roman Polanski
Isabelle Adjani
Melvyn Douglas
Jo Van Fleet
Charlton Heston
Orson Welles
Janet Leigh
Joseph Calleia
Mathieu Amalric
Emmanuelle Seigner
Marie-Josée Croze
Anne Consigny
Henry Fonda
Jane Darwell
John Carradine
Charley Grapewin
Lembit Ulfsak
Elmo Nüganen
Giorgi Nakashidze
Misha Meskhi
Klaus Kinski
Ruy Guerra
Helena Rojo
Del Negro
Ethan Hawke
Trevor Jack Brooks
Lorelei Linklater
Wiley Wiggins
Trey Parker
Matt Stone
Mary Kay Bergman
Isaac Hayes
Charles Chaplin
Edna Purviance
Jackie Coogan
Carl Miller
Stanley Baker
Jack Hawkins
Ulla Jacobsson
James Booth
Lew Ayres
Louis Wolheim
John Wray
Arnold Lucy
Andy Lau
Tony Chiu-Wai Leung
Anthony Chau-Sang Wong
Eric Tsang
Evan McGuire
Brendan Gleeson
Mick Lally
Christen Mooney
Mohammad Amir Naji
Amir Farrokh Hashemian
Bahare Seddiqi
Nafise Jafar-Mohammadi
Farley Granger
Robert Walker
Ruth Roman
Leo G. Carroll
Takashi Shimura
Nobuo Kaneko
" ""Shinichi Himori"""
Haruo Tanaka
Humphrey Bogart
Lauren Bacall
Walter Brennan
Dolores Moran
Giuseppe Battiston
Anna Foglietta
Marco Giallini
Edoardo Leo
John Lennon
Paul McCartney
George Harrison
Ringo Starr
Irène Jacob
Jean-Louis Trintignant
Frédérique Feder
Jean-Pierre Lorit
Myrna Loy
Dana Andrews
Fredric March
Teresa Wright
Anthony Hopkins
Diane Ladd
Iain Rea
Tessa Mitchell
Humphrey Bogart
Lauren Bacall
John Ridgely
Martha Vickers
Aleksey Serebryakov
Elena Lyadova
Roman Madyanov
Vladimir Vdovichenkov
Cary Grant
Rosalind Russell
Ralph Bellamy
Gene Lockhart
Audrey Tautou
Gaspard Ulliel
Jodie Foster
Dominique Pinon
Kevin McCarthy
Dana Wynter
Larry Gates
King Donovan
Birol Ünel
Sibel Kekilli
Güven Kiraç
Zarah Jane McKenzie
Errol Flynn
Olivia de Havilland
Basil Rathbone
Claude Rains
Maryana Spivak
Aleksey Rozin
Matvey Novikov
Marina Vasileva
Erland Josephson
Susan Fleetwood
Allan Edwall
Guðrún Gísladóttir
Elliott Gould
Nina van Pallandt
Sterling Hayden
Mark Rydell
Sara Takatsuki
Kasumi Arimura
Nanako Matsushima
Susumu Terajima
Kang-ho Song
Shin Ha-kyun
Bae Doona
Ji-Eun Lim
James Stewart
Jean Arthur
Claude Rains
Edward Arnold
Kôichi Yamadera
Emi Shinohara
Takeshi Aono
Osamu Saka
Anatoliy Solonitsyn
Ivan Lapikov
Nikolay Grinko
Nikolay Sergeev
Rod Steiger
James Coburn
Romolo Valli
Maria Monti
Kevin Conroy
Dana Delany
Hart Bochner
Stacy Keach
Rosario Flores
Javier Cámara
Darío Grandinetti
Leonor Watling
Klaus Kinski
Claudia Cardinale
José Lewgoy
